date,STATE,CONSUMPTION
2003-02-01,AR,3906018.0
2003-03-01,AR,3094584.0
2003-04-01,AR,3820655.0
2003-05-01,AR,5889469.0
2003-06-01,AR,8032995.0
2003-07-01,AR,10156871.0
2003-08-01,AR,10260616.0
2003-09-01,AR,6323589.0
2003-10-01,AR,5185591.0
2003-11-01,AR,4543297.0
2003-12-01,AR,3290861.0
2004-01-01,AR,3357652.6399999997
2004-02-01,AR,3775178.48
2004-03-01,AR,3247878.58
2004-04-01,AR,2699431.05
2004-05-01,AR,4962336.0
2004-06-01,AR,5984977.890000001
2004-07-01,AR,6672508.069999999
2004-08-01,AR,6179481.109999999
2004-09-01,AR,3732316.96
2004-10-01,AR,4517772.75
2004-11-01,AR,2484140.07
2004-12-01,AR,2548634.19
2005-01-01,AR,2641591.29
2005-02-01,AR,2367354.24
2005-03-01,AR,3155506.7
2005-04-01,AR,2917461.41
2005-05-01,AR,4908628.91
2005-06-01,AR,7007799.97
2005-07-01,AR,8923373.68
2005-08-01,AR,9082397.54
2005-09-01,AR,5159284.7299999995
2005-10-01,AR,4140373.81
2005-11-01,AR,3747332.88
2005-12-01,AR,3556779.4
2006-01-01,AR,2555734.9000000004
2006-02-01,AR,3209011.64
2006-03-01,AR,3426327.42
2006-04-01,AR,6228267.640000001
2006-05-01,AR,8644519.08
2006-06-01,AR,10998781.459999999
2006-07-01,AR,11757174.700000001
2006-08-01,AR,12253422.81
2006-09-01,AR,8844802.299999999
2006-10-01,AR,7241844.82
2006-11-01,AR,2837803.41
2006-12-01,AR,3491263.66
2001-01-01,AZ,9224064.0
2001-02-01,AZ,11791633.0
2001-03-01,AZ,12295095.0
2001-04-01,AZ,13536774.0
2001-05-01,AZ,16792291.0
2001-06-01,AZ,14357021.0
2001-07-01,AZ,15444510.0
2001-08-01,AZ,14177427.0
2001-09-01,AZ,11746237.0
2001-10-01,AZ,11602642.0
2001-11-01,AZ,8460437.0
2001-12-01,AZ,10525787.0
2002-01-01,AZ,8049962.0
2002-02-01,AZ,9272479.0
2002-03-01,AZ,10616097.0
2002-04-01,AZ,9525584.0
2002-05-01,AZ,10886227.0
2002-06-01,AZ,14180285.0
2002-07-01,AZ,21024591.0
2002-08-01,AZ,19608084.0
2002-09-01,AZ,18475781.0
2002-10-01,AZ,15997665.0
2002-11-01,AZ,13254468.0
2002-12-01,AZ,13962924.0
2003-01-01,AZ,9740952.0
2003-02-01,AZ,10602072.0
2003-03-01,AZ,13309682.0
2003-04-01,AZ,11092033.0
2003-05-01,AZ,10314576.0
2003-06-01,AZ,13851932.0
2003-07-01,AZ,26559452.0
2003-08-01,AZ,28566673.0
2003-09-01,AZ,23068256.0
2003-10-01,AZ,21469332.0
2003-11-01,AZ,12073751.0
2003-12-01,AZ,9041362.0
2004-01-01,AZ,13716732.2
2004-02-01,AZ,18358081.61
2004-03-01,AZ,18582388.35
2004-04-01,AZ,19065388.950000003
2004-05-01,AZ,23025090.9
2004-06-01,AZ,26723693.64
2004-07-01,AZ,33214637.47
2004-08-01,AZ,30683493.14
2004-09-01,AZ,24788220.05
2004-10-01,AZ,19694634.43
2004-11-01,AZ,17064538.7
2004-12-01,AZ,15500785.930000002
2005-01-01,AZ,13282430.75
2005-02-01,AZ,12846419.17
2005-03-01,AZ,9828113.969999999
2005-04-01,AZ,14974207.01
2005-05-01,AZ,18731311.79
2005-06-01,AZ,20521178.299999997
2005-07-01,AZ,32737553.38
2005-08-01,AZ,32289540.740000002
2005-09-01,AZ,23921858.509999998
2005-10-01,AZ,21213900.36
2005-11-01,AZ,18108932.63
2005-12-01,AZ,19031272.23
2006-01-01,AZ,15935124.420000002
2006-02-01,AZ,14450620.8
2006-03-01,AZ,13995496.129999999
2006-04-01,AZ,15784697.97
2006-05-01,AZ,18574876.56
2006-06-01,AZ,27619055.58
2006-07-01,AZ,32326757.560000002
2006-08-01,AZ,34184743.760000005
2006-09-01,AZ,28066826.150000002
2006-10-01,AZ,28919259.89
2006-11-01,AZ,19508572.25
2006-12-01,AZ,19238775.55
2001-01-01,CA,95446572.88
2001-02-01,CA,83098474.38
2001-03-01,CA,88490208.87
2001-04-01,CA,85392534.07
2001-05-01,CA,88248330.18
2001-06-01,CA,88258849.84
2001-07-01,CA,97587682.92
2001-08-01,CA,105007746.89
2001-09-01,CA,88476774.03
2001-10-01,CA,80287373.8
2001-11-01,CA,63471603.02
2001-12-01,CA,66916713.44
2002-01-01,CA,58410287.3
2002-02-01,CA,50431511.05
2002-03-01,CA,67993677.63
2002-04-01,CA,48207131.03
2002-05-01,CA,49166467.15
2002-06-01,CA,69164103.83
2002-07-01,CA,95095163.25
2002-08-01,CA,86046451.57
2002-09-01,CA,80038805.23
2002-10-01,CA,61880928.11
2002-11-01,CA,56384386.25
2002-12-01,CA,62245887.5
2003-01-01,CA,57495929.46
2003-02-01,CA,55500513.94
2003-03-01,CA,56161664.13
2003-04-01,CA,46250703.82
2003-05-01,CA,45256904.5
2003-06-01,CA,52925089.21
2003-07-01,CA,91930278.66
2003-08-01,CA,86715025.02
2003-09-01,CA,79076716.84
2003-10-01,CA,73066508.71
2003-11-01,CA,55766436.97
2003-12-01,CA,56263845.95
2004-01-01,CA,53440233.410000004
2004-02-01,CA,54639830.09
2004-03-01,CA,60755882.86000001
2004-04-01,CA,57387854.870000005
2004-05-01,CA,57481139.93000001
2004-06-01,CA,57354595.98
2004-07-01,CA,85736053.65
